VCE_ID,Month,Stage,D1,D2,D3,MuseumSpecimenKey,Species,Lat_Final,Long_Final,Country,State,County,Town,Locality,Collection,Sex,Comments
971,8,adult,NA,NA,NA,370,Anax junius,19.6337,-101.6363,Mexico,,Michoacan,,"Lago de Patzcuaro, 2.6 mi W Quiroga",Paulson Collection,M,fat-stained card
976,11,adult,-78.56,NA,NA,375,Anax junius,20.3733,-89.77,Mexico,,Yucatan,,forest pond at Uxmal,Paulson Collection,M,mature at water
986,2,Teneral,-70.78,NA,NA,385,Anax junius,21.0709,-73.6405,Bahamas,,Great Inagua,,7 mi N Matthewtown,Paulson Collection,M,teneral
980,9,adult,NA,NA,NA,379,Anax junius,21.3405,-104.632,Mexico,,Nayarit,,"Rio El Lim—n, 6.3 road km W Santa Maria del Oro",Paulson Collection,M,
19,7,adult,-92.12,NA,NA,22163,Anax junius,23.2167,-106.4167,Mexico,Sinaloa,,,", Mazatlan",University of Texas Insect Collection,M,
975,8,adult,-92.49,NA,NA,374,Anax junius,23.2888,-106.4757,Mexico,,Sinaloa,,"pond behind North Beach, Mazatl‡n",Paulson Collection,F,
972,8,adult,NA,NA,NA,371,Anax junius,23.2888,-106.4757,Mexico,,Sinaloa,,"pond behind North Beach, Mazatl‡n",Paulson Collection,M,mated with 372; fat-stained card
973,8,adult,NA,NA,NA,372,Anax junius,23.2888,-106.4757,Mexico,,Sinaloa,,"pond behind North Beach, Mazatl‡n",Paulson Collection,F,mated with 371; fat-stained card
974,8,adult,NA,NA,NA,373,Anax junius,23.2888,-106.4757,Mexico,,Sinaloa,,"pond behind North Beach, Mazatl‡n",Paulson Collection,M,
969,8,adult,-81.41,NA,NA,368,Anax junius,23.413,-99.3493,Mexico,,Tamaulipas,,stream 1.1 mi NE Jaumave,Paulson Collection,M,mated with 369
970,8,adult,-107.39,NA,NA,369,Anax junius,23.413,-99.3493,Mexico,,Tamaulipas,,stream 1.1 mi NE Jaumave,Paulson Collection,F,mated with 368
982,1,adult,-135.12,NA,NA,381,Anax junius,23.4271,-110.2138,Mexico,,Baja California Sur,,"marshy streams & pools at foot of Cerro La Poza, just S Todos Santos",Paulson Collection,M,mature at water
985,11,adult,-75.82,NA,NA,384,Anax junius,24.1942,-75.372,Bahamas,,Cat Island,,1 mi S Tea Bay,Paulson Collection,F,ovipositing
152,3,adult,-66.65,NA,NA,AMNH0043,Anax junius,24.2293,-75.3792,Bahamas,,,,", Cat Island,  The Bight",American Museum of Natural History,M,
368,2,adult,-78.31,NA,NA,FSCA0205,Anax junius,24.5542,-81.7917,United States,Florida,Monroe,,", field adjacent golf course on Key West",Florida State Collection of Arthropods,M,
287,8,adult,-78.16,NA,NA,FSCA0127,Anax junius,24.6319,-82.9208,United States,Florida,Monroe,,", Dry Tortugas,  Loggerhead Key",Florida State Collection of Arthropods,F,
288,7,adult,-95.61,NA,NA,FSCA0128,Anax junius,24.6319,-82.9208,United States,Florida,Monroe,,", Dry Tortugas,  Loggerhead Key",Florida State Collection of Arthropods,F,
938,1,adult,-56.46,NA,NA,337,Anax junius,24.6715,-81.4984,United States,Florida,Monroe,,Cudjoe Key,Paulson Collection,M,not at water
984,10,adult,-105.35,NA,NA,383,Anax junius,24.7195,-77.7897,Bahamas,,Andros,,Andros Town,Paulson Collection,M,fat-stained card
336,5,adult,-64.89,NA,NA,FSCA0175,Anax junius,25.0861,-80.4475,United States,Florida,Dade,,", Key Largo",Florida State Collection of Arthropods,F,
411,1,adult,-61.63,-62.34,NA,FSCA0269,Anax junius,25.4683,-80.4778,United States,Florida,Dade,Homestead,"Homestead, ",Florida State Collection of Arthropods,F,
405,5,adult,-67.12,NA,NA,FSCA0263,Anax junius,25.5376,-80.5695,United States,Florida,Dade,,", Everglades National Park entrance on FL 27",Florida State Collection of Arthropods,,
927,8,adult,-66.96,NA,NA,326,Anax junius,25.5523,-80.3362,United States,Florida,Dade,,2 mi E Goulds (SW 232 St. & 102 Ave.),Paulson Collection,M,mature at water
929,8,adult,-69.08,NA,NA,328,Anax junius,25.5523,-80.3362,United States,Florida,Dade,,2 mi E Goulds (SW 232 St. & 102 Ave.),Paulson Collection,M,mature at water
928,8,adult,-80.39,NA,NA,327,Anax junius,25.5523,-80.3362,United States,Florida,Dade,,2 mi E Goulds (SW 232 St. & 102 Ave.),Paulson Collection,M,mature at water
335,5,adult,-66.66,NA,NA,FSCA0174,Anax junius,25.5622,-80.3181,United States,Florida,Dade,,", 4 miles east Goulds sw 224th st. and 82nd ave.",Florida State Collection of Arthropods,M,
291,3,exuviae,-55.73,NA,NA,FSCA0130A,Anax junius,25.6231,-80.4047,United States,Florida,Dade,Coral Gables,"Coral Gables, University of Miami botany Dept.",Florida State Collection of Arthropods,F,
290,3,adult,-62.26,NA,NA,FSCA0130,Anax junius,25.6231,-80.4047,United States,Florida,Dade,Coral Gables,"Coral Gables, University of Miami botany Dept.",Florida State Collection of Arthropods,F,
322,3,adult,-79.26,-77.16,NA,FSCA0161,Anax junius,25.6231,-80.4047,United States,Florida,Dade,Coral Gables,"Coral Gables, University of Miami botany Dept.",Florida State Collection of Arthropods,F,
925,12,adult,-65.78,NA,NA,324,Anax junius,25.666,-80.3578,United States,Florida,Dade,,Kendall,Paulson Collection,M,fully colored male
931,12,Teneral,-85.21,NA,NA,330,Anax junius,25.666,-80.3578,United States,Florida,Dade,,Kendall,Paulson Collection,M,immature
924,11,Teneral,-80.11,NA,NA,323,Anax junius,25.7051,-80.2908,United States,Florida,Dade,,South Miami,Paulson Collection,M,teneral!
903,3,exuviae,-47.75,NA,NA,,Anax junius,25.7125,-80.158,United States,Florida,Dade,,"Key Biscayne, Crandon Zoo pond",Paulson Collection,,
902,3,exuviae,-48.11,NA,NA,,Anax junius,25.7125,-80.158,United States,Florida,Dade,,"Key Biscayne, Crandon Zoo pond",Paulson Collection,,
904A,3,exuviae,-62.71,NA,NA,,Anax junius,25.7174,-80.2781,United States,Florida,Dade,Coral Gables,"University of Miami, Botany Dept.",Paulson Collection,,
904B,3,exuviae,-65.71,NA,NA,,Anax junius,25.7174,-80.2781,United States,Florida,Dade,Coral Gables,"University of Miami, Botany Dept.",Paulson Collection,,
926,3,Teneral,NA,NA,NA,325,Anax junius,25.7174,-80.2781,United States,Florida,Dade,,Coral Gables (UM Botany Dept.),Paulson Collection,F,emerging
285,12,adult,-69.26,NA,NA,FSCA0125,Anax junius,25.7211,-80.2686,United States,Florida,Dade,Coral Gables,"Coral Gables, ",Florida State Collection of Arthropods,M,
917,8,adult,NA,NA,NA,316,Anax junius,25.7244,-80.3716,United States,Florida,Dade,,Westwood Lake (Miami subdivision),Paulson Collection,F,not at water
918,10,adult,NA,NA,NA,317,Anax junius,25.7244,-80.3716,United States,Florida,Dade,,Westwood Lake (Miami subdivision),Paulson Collection,F,not at water; fat-stained card
937,1,Teneral,NA,NA,NA,336,Anax junius,25.7953,-80.2783,United States,Florida,Dade,,Miami airport,Paulson Collection,F,teneral!
1047,3,adult,-98.63,NA,NA,CNC039,Anax junius,25.9018,-97.4975,United States,Texas,,Brownsville,,Canadian National Collection,M,
608,3,adult,-87.35,NA,-89.05,CNC013,Anax junius,25.9024,-97.4977,United States,Texas,Cameron,Brownsville,Brownsville,Canadian National Collection,,
604,3,adult,-90.17,-91.47,-100.78,CNC009,Anax junius,25.9024,-97.4977,United States,Texas,Cameron,Brownsville,Brownsville,Canadian National Collection,,
916,8,adult,-59.64,NA,NA,315,Anax junius,25.9406,-81.7147,United States,Florida,Collier,,"Marco Island, rain pools behind beach",Paulson Collection,F,
440,5,adult,-72.55,NA,NA,FSCA0298,Anax junius,25.945,-97.4972,United States,Texas,Cameron,,", fish hatchery pond 3 miles north of Brownsville",Florida State Collection of Arthropods,F,
940,12,adult,-79.45,NA,NA,339,Anax junius,26.0501,-81.7011,United States,Florida,Collier,,Rookery Bay National Estuarine Research Reserve,Paulson Collection,F,
406,7,adult,-93.97,NA,NA,FSCA0264,Anax junius,26.1219,-80.1436,United States,Florida,Broward,Fort Lauderdale,"Fort Lauderdale, ",Florida State Collection of Arthropods,F,
962,8,adult,NA,NA,NA,361,Anax junius,26.172,-98.3828,United States,Texas,Hidalgo,,slouth in Bentsen State Park,Paulson Collection,M,mature at water
272,12,adult,-76.19,NA,NA,FSCA0113,Anax junius,26.44,-82.1139,United States,Florida,Lee,,", Sanibel Island",Florida State Collection of Arthropods,M,
1,3,adult,-98.25,-81.04,NA,18134,Anax junius,26.456,-98.0029,United States,Texas,Hidalgo,,", open canal south city limits Weslaco; E of Hwy 88",University of Texas Insect Collection,M,
324,2,adult,-78.36,NA,NA,FSCA0163,Anax junius,26.4983,-80.1089,United States,Florida,Monroe,,", edge of golf course botanical gardens on key",Florida State Collection of Arthropods,F,
936,8,adult,NA,NA,NA,335,Anax junius,26.5184,-81.5642,United States,Florida,Lee,,Fla. 82 at Collier County line,Paulson Collection,F,dusk flight
963,8,adult,NA,NA,NA,362,Anax junius,26.5206,-99.1222,United States,Texas,Starr,,"Rio Grande, 3 mi S Falcon Heights (Chape–o)",Paulson Collection,F,
146,11,adult,-61.26,NA,NA,AMNH0016,Anax junius,26.525,-80.0667,United States,Florida,Palm Beach,Boynton Beach,", Boynton Beach",American Museum of Natural History,M,
147,11,adult,-72.3,NA,NA,AMNH0017,Anax junius,26.525,-80.0667,United States,Florida,Palm Beach,Boynton Beach,", Boynton Beach",American Museum of Natural History,F,
148,11,adult,-82.43,NA,NA,AMNH0018,Anax junius,26.525,-80.0667,United States,Florida,Palm Beach,Boynton Beach,", Boynton Beach",American Museum of Natural History,M,
381,3,adult,-93.07,-91.75,NA,FSCA0217,Anax junius,26.5843,-80.0421,United States,Florida,Palm Beach,,", Lake Worth",Florida State Collection of Arthropods,M,
380,3,adult,-95.77,NA,NA,FSCA0216,Anax junius,26.5843,-80.0421,United States,Florida,Palm Beach,,", Lake Worth",Florida State Collection of Arthropods,F,
1154,6,exuviae,-60.71,NA,NA,MMD0618.1,Anax junius,26.5997,-82.2216,United States,Florida,Lee,Captiva,Lake on North (upper) Captiva Island,Vermont Center for Ecostudies,,
371,4,adult,-88.39,NA,NA,FSCA0208,Anax junius,26.6739,-81.815,United States,Florida,Lee,Tice,"Tice, ",Florida State Collection of Arthropods,F,
327,4,adult,-65.42,-70.74,NA,FSCA0166,Anax junius,26.6928,-80.8147,United States,Florida,Palm Beach,,", Lake Okeechobee at lake harbor",Florida State Collection of Arthropods,M,
329,4,adult,-66.45,NA,NA,FSCA0168,Anax junius,26.6928,-80.8147,United States,Florida,Palm Beach,,", Lake Okeechobee at lake harbor",Florida State Collection of Arthropods,F,
328,4,adult,-70.89,-66.32,NA,FSCA0167,Anax junius,26.6928,-80.8147,United States,Florida,Palm Beach,,", Lake Okeechobee at lake harbor",Florida State Collection of Arthropods,M,
330,4,adult,-74.64,NA,NA,FSCA0169,Anax junius,26.6928,-80.8147,United States,Florida,Palm Beach,,", Lake Okeechobee at lake harbor",Florida State Collection of Arthropods,M,
331,4,adult,-81.12,NA,NA,FSCA0170,Anax junius,26.6928,-80.8147,United States,Florida,Palm Beach,,", Lake Okeechobee at lake harbor",Florida State Collection of Arthropods,M,
664,2,adult,-88.07,NA,NA,332974,Anax junius,26.7053,-80.0358,United States,Florida,,,Palm Beach,USNM,M  ,2/22/1900
403,5,adult,-66.52,-66.48,NA,FSCA0261,Anax junius,26.7392,-80.8828,United States,Florida,Palm Beach,,", 5 miles east of Clewiston on US 27",Florida State Collection of Arthropods,M,
282,3,adult,-65.24,NA,NA,FSCA0122,Anax junius,26.8197,-80.6656,United States,Florida,Palm Beach,,", Dyke at Pahokee",Florida State Collection of Arthropods,M,
369,3,adult,-79.41,-60.55,NA,FSCA0206,Anax junius,26.8197,-80.6656,United States,Florida,Palm Beach,,", Dyke at Pahokee",Florida State Collection of Arthropods,M,
374,3,adult,-73.86,NA,NA,FSCA0211,Anax junius,26.8505,-80.631,United States,Florida,Palm Beach,,", 3 miles NE Pahokee",Florida State Collection of Arthropods,F,
967,9,adult,-120.7,NA,NA,366,Anax junius,26.9269,-97.3854,United States,Texas,Kleberg,,North Padre Island,Paulson Collection,M,fat-stained card
334,3,adult,-71.17,NA,NA,FSCA0173,Anax junius,26.9295,-80.6064,United States,Florida,Palm Beach,,", 3.9 miles south Port Mayaca on US 441",Florida State Collection of Arthropods,F,
338,3,adult,-72.62,NA,NA,FSCA0177,Anax junius,26.9295,-80.6064,United States,Florida,Palm Beach,,", 3.9 miles south Port Mayaca on US 441",Florida State Collection of Arthropods,F,
339,3,adult,-69.91,-69.59,NA,FSCA0178,Anax junius,26.9339,-80.1107,United States,Florida,Palm Beach,,", 1 mile w Jupiter",Florida State Collection of Arthropods,F,
326,3,adult,-80.99,NA,NA,FSCA0165,Anax junius,26.9339,-80.1107,United States,Florida,Palm Beach,,", 1 mile west of Jupiter",Florida State Collection of Arthropods,M,
277,3,adult,-45.32,NA,NA,FSCA0118,Anax junius,26.9861,-80.6064,United States,Florida,Martin,Port Mayaca,"Port Mayaca, ",Florida State Collection of Arthropods,F,
268,6,adult,-78.69,-70.57,NA,FSCA0109,Anax junius,27.0855,-81.995,United States,Florida,DeSoto,,", Horse Creek at FL 761,  5 miles west and 1.2 miles ______",Florida State Collection of Arthropods,M,
284,5,adult,-88.61,NA,NA,FSCA0124,Anax junius,27.1553,-81.3282,United States,Florida,Highlands,,", 3 miles south FL 70 on US 27",Florida State Collection of Arthropods,F,
407,7,adult,-83.45,NA,NA,FSCA0265,Anax junius,27.208,-81.3133,United States,Florida,Highlands,,", 1.1 mile east US 27 on FL 70",Florida State Collection of Arthropods,M,
920,8,adult,-74.78,NA,NA,319,Anax junius,27.2083,-81.3158,United States,Florida,Highlands,,pond 0.8 mi E US 27 on Fla. 70,Paulson Collection,M,mated with 320; fat-stained card
921,8,adult,-81.53,NA,NA,320,Anax junius,27.2083,-81.3158,United States,Florida,Highlands,,pond 0.8 mi E US 27 on Fla. 70,Paulson Collection,F,mated with 319; fat-stained card
923,10,adult,-73.41,NA,NA,322,Anax junius,27.2083,-81.3102,United States,Florida,Highlands,,pond 1.1 mi E US 27 on Fla. 70,Paulson Collection,F,mated with 321; fat-stained card
922,10,adult,-116.25,NA,NA,321,Anax junius,27.2083,-81.3102,United States,Florida,Highlands,,pond 1.1 mi E US 27 on Fla. 70,Paulson Collection,M,mated with 322; fat-stained card
340,3,adult,-68.11,NA,NA,FSCA0179,Anax junius,27.2405,-81.3232,United States,Florida,Highlands,,", Lake Grassy at US 27",Florida State Collection of Arthropods,M,
341,3,adult,-74.23,NA,NA,FSCA0180,Anax junius,27.2405,-81.3232,United States,Florida,Highlands,,", Lake Grassy at US 27",Florida State Collection of Arthropods,F,
366,4,adult,-60.65,NA,NA,FSCA0203,Anax junius,27.2583,-82.5333,United States,Florida,Sarasota,,", Siesta Key",Florida State Collection of Arthropods,M,resting in shrubs
365,4,adult,-64.48,NA,NA,FSCA0202,Anax junius,27.2583,-82.5333,United States,Florida,Sarasota,,", Siesta Key",Florida State Collection of Arthropods,M,
409,4,adult,-65.22,NA,NA,FSCA0267,Anax junius,27.2583,-82.5333,United States,Florida,Sarasota,,", Siesta Key",Florida State Collection of Arthropods,F,
332,4,adult,-68.83,NA,NA,FSCA0171,Anax junius,27.2583,-82.5333,United States,Florida,Sarasota,,", Siesta Key",Florida State Collection of Arthropods,F,
370,4,adult,-73.14,NA,NA,FSCA0207,Anax junius,27.2583,-82.5333,United States,Florida,Sarasota,,", Siesta Key",Florida State Collection of Arthropods,F,
408,4,adult,-75.29,-71.47,NA,FSCA0266,Anax junius,27.2583,-82.5333,United States,Florida,Sarasota,,", Siesta Key",Florida State Collection of Arthropods,F,
919,8,Teneral,NA,NA,NA,318,Anax junius,27.3447,-80.7922,United States,Florida,Okeechobee,,10.5 mi N & 1.8 mi W Okeechobee on Fla. 68,Paulson Collection,M,larva collected 12 July 1962
323,2,adult,-92.7,NA,NA,FSCA0162,Anax junius,27.3891,-81.4237,United States,Florida,Highlands,,", Josephine Creek at US 27",Florida State Collection of Arthropods,F,
337,4,adult,-69.29,NA,NA,FSCA0176,Anax junius,27.4711,-81.5417,United States,Florida,Highlands,,", Highlands Hammock State Park",Florida State Collection of Arthropods,M,"28th of April, no year. Prob 1950s"
410,6,adult,-80.67,NA,NA,FSCA0268,Anax junius,27.4986,-82.575,United States,Florida,Manatee,Bradenton,"Bradenton, ",Florida State Collection of Arthropods,F,197_ for year
10,5,adult,-62.04,NA,NA,22146,Anax junius,27.5156,-97.8558,United States,Texas,Kleberg,,", Golf course pond
just S of Kingsville",University of Texas Insect Collection,M,
271,3,adult,-88.06,-79.98,NA,FSCA0112,Anax junius,27.8161,-80.4708,United States,Florida,Brevard,,", near Sebastian",Florida State Collection of Arthropods,F,
957,6,adult,-84.53,NA,NA,356,Anax junius,28.0378,-97.8693,United States,Texas,Jim Wells,,ponds W of Nueces River at Tex. 359,Paulson Collection,F,ovipositing
422,3,adult,-62.88,NA,NA,FSCA0280,Anax junius,28.0889,-80.5667,United States,Florida,Brevard,,", Indiatlantic",Florida State Collection of Arthropods,M,feeding in and out of brush hedge back from beach. One of two seen.
420,2,adult,-83.41,-77.99,NA,FSCA0278,Anax junius,28.0889,-80.5667,United States,Florida,Brevard,,", Indiatlantic",Florida State Collection of Arthropods,M,
376,3,adult,-84.88,-67.61,NA,FSCA0212,Anax junius,28.1642,-80.6161,United States,Florida,Dade,,", Fairchild Tropic Gardens,  Research Section",Florida State Collection of Arthropods,M,
372,5,adult,-73.86,NA,NA,FSCA0209,Anax junius,28.2332,-82.3627,United States,Florida,Pasco,,", 11 miles west of Zephyrhills I-75 at S.R. 54",Florida State Collection of Arthropods,F,
961,8,adult,-91.86,NA,NA,360,Anax junius,28.3074,-96.8043,United States,Texas,Aransas,,Aransas National Wildlife Refuge,Paulson Collection,M,
958,9,adult,-128.78,NA,NA,357,Anax junius,28.3074,-96.8043,United States,Texas,Aransas,,Aransas National Wildlife Refuge,Paulson Collection,F,
60,6,adult,-67.22,NA,NA,43819,Anax junius,28.3135,-99.4468,United States,Texas,Dimmit,,", Chaparral Wildlife Management Area
Artesia Wells,  10.1 mi NW",University of Texas Insect Collection,M,
61,6,adult,-74.44,NA,NA,44088,Anax junius,28.3135,-99.4468,United States,Texas,Dimmit,,", Chaparral Wildlife Management Area
Artesia Wells,  10.1 mi NW",University of Texas Insect Collection,F,
6,6,adult,NA,NA,NA,19274,Anax junius,28.3135,-99.4468,United States,Texas,Dimmit,,", Chaparral Wildlife Management Area
Artesia Wells,  10.1 mi NW",University of Texas Insect Collection,M,
144,9,adult,-100.37,-91.51,NA,AMNH0014,Anax junius,28.4056,-80.605,United States,Florida,Brevard,Cape Canaveral,", Cape Canaveral",American Museum of Natural History,F,
983,9,adult,-118.81,NA,NA,382,Anax junius,28.4306,-109.2575,Mexico,,Sonora,,Arroyo Tepoca at Tepoca,Paulson Collection,M,mature at water
270,4,adult,-70.89,NA,NA,FSCA0111,Anax junius,28.4837,-81.2504,United States,Florida,Orange,,,Florida State Collection of Arthropods,M,lat/long is center of county - mm
273,3,adult,-72.09,NA,NA,FSCA0114,Anax junius,28.5381,-81.3794,United States,Florida,Orange,Orlando,"Orlando, ",Florida State Collection of Arthropods,F,
286,2,adult,-84.26,NA,NA,FSCA0126,Anax junius,28.5381,-81.3794,United States,Florida,Orange,Orlando,"Orlando, ",Florida State Collection of Arthropods,M,
934,3,Teneral,-65.12,NA,NA,333,Anax junius,28.5593,-81.6753,United States,Florida,Lake,,field 2.7 mi S Montverde,Paulson Collection,F,immature
933,3,adult,-78.7,NA,NA,332,Anax junius,28.5593,-81.6753,United States,Florida,Lake,,field 2.7 mi S Montverde,Paulson Collection,F,
932,3,adult,-81.65,NA,NA,331,Anax junius,28.5593,-81.6753,United States,Florida,Lake,,field 2.7 mi S Montverde,Paulson Collection,F,
145,11,adult,-65.96,NA,NA,AMNH0015,Anax junius,28.6119,-80.8078,United States,Florida,Brevard,Titusville,"Titusville, ",American Museum of Natural History,M,
703,4,adult,-52.81,NA,NA,BHTX003,Anax junius,28.6276,-96.1005,United States,Texas,Matagorda,College Court,Mad Island Marsh Nature Conservancy Preserve,Vermont Center for Ecostudies,,
701,4,adult,-72.06,-72.77,NA,BHTX001,Anax junius,28.6276,-96.1005,United States,Texas,Matagorda,College Court,Mad Island Marsh Nature Conservancy Preserve,Vermont Center for Ecostudies,,
702,4,adult,-111.72,NA,NA,BHTX002,Anax junius,28.6276,-96.1005,United States,Texas,Matagorda,College Court,Mad Island Marsh Nature Conservancy Preserve,Vermont Center for Ecostudies,,
276,4,adult,-64.7,-59.27,NA,FSCA0117,Anax junius,28.7133,-81.2072,United States,Florida,Seminole,,,Florida State Collection of Arthropods,F,lat/long is center of county - mm
278,4,adult,-72.49,NA,NA,FSCA0119,Anax junius,28.7133,-81.2072,United States,Florida,Seminole,,,Florida State Collection of Arthropods,F,lat/long is center of county - mm
674,6,adult,-100.6,NA,NA,333201,Anax junius,28.8055,-97.0041,United States,Texas,,,Victoria,USNM,M  ,6/26/1903
367,3,adult,-91.39,-88.06,NA,FSCA0204,Anax junius,28.8106,-81.8781,United States,Florida,Lake,Leesburg,"Leesburg, ",Florida State Collection of Arthropods,F,
404,4,adult,-91.51,NA,NA,FSCA0262,Anax junius,28.8106,-81.8781,United States,Florida,Lake,Leesburg,"Leesburg, ",Florida State Collection of Arthropods,F,not positive it is 8 in year
419,4,adult,-68.7,NA,NA,FSCA0277,Anax junius,28.8512,-81.8732,United States,Florida,Lake,,", Lake Griffin,  Piccula Island",Florida State Collection of Arthropods,F,
262,3,adult,-74.08,-75.11,NA,FSCA0103,Anax junius,28.857,-81.0121,United States,Florida,Seminole,,", St. Johns Plain",Florida State Collection of Arthropods,M,
36,5,adult,-58.28,NA,NA,38964,Anax junius,28.9857,-95.9979,United States,Texas,Matagorda,,", Colorado River @ 35",University of Texas Insect Collection,F,
49,5,adult,-123.69,NA,NA,39948,Anax junius,29.1772,-103.0004,United States,Texas,Brewster,,", Big Bend National Park
Tornillo Creek as it enters Rio Grande",University of Texas Insect Collection,F,
30,5,adult,-83.77,NA,NA,36532,Anax junius,29.3015,-94.802,United States,Texas,Galveston,,,University of Texas Insect Collection,F,"Lat/Long is center of Galveston, TX - mm"
423,7,adult,-75.42,NA,NA,FSCA0281,Anax junius,29.3204,-103.821,United States,Texas,Presidio,Redford,"Redford, 13 miles east on SR-118,  1.1 west of closed canyon trailhead,  spring fed pond",Florida State Collection of Arthropods,M,
426,6,adult,-101.43,NA,NA,FSCA0284,Anax junius,29.3577,-98.34,United States,Texas,Bexar,,", Campbell Pond,  New Sulphur Springs Road,  east of San Antonio",Florida State Collection of Arthropods,M,
959,9,adult,-110.34,NA,NA,358,Anax junius,29.3698,-100.885,United States,Texas,Val Verde,,"streams below San Felipe Springs at US 90, Del Rio",Paulson Collection,M,mature at water; fat-stained card
233,7,adult,-70.4,-67.08,NA,FSCA0074,Anax junius,29.5425,-90.3381,United States,Louisiana,Laforuche,,", cut off",Florida State Collection of Arthropods,F,
228,7,adult,-88.39,NA,NA,FSCA0069,Anax junius,29.5425,-90.3381,United States,Louisiana,Laforuche,,", cut off",Florida State Collection of Arthropods,F,
361,7,adult,-92.68,NA,NA,FSCA0199,Anax junius,29.5606,-104.3717,United States,Texas,Presidio,Presidio,"Presidio, ",Florida State Collection of Arthropods,F,collected at blacklight
378,4,adult,-114.9,NA,NA,FSCA0214,Anax junius,29.6,-82.1536,United States,Florida,Alachua,,", Grove Park",Florida State Collection of Arthropods,F,
279,3,adult,-75.74,-69.85,NA,FSCA0120,Anax junius,29.6314,-82.3441,United States,Florida,Alachua,Gainesville,"Gainesville, sw Gainesville",Florida State Collection of Arthropods,F,
489,3,adult,-56.82,-53.58,NA,VCE3,Anax junius,29.6365,-82.2003,United States,Florida,Alachua,Windsor,"Windsor, Newnan's Lake",Vermont Center for Ecostudies,U,
488,3,adult,-65.52,NA,NA,VCE2,Anax junius,29.6365,-82.2003,United States,Florida,Alachua,Windsor,"Windsor, Newnan's Lake",Vermont Center for Ecostudies,F,
491,3,adult,-65.58,NA,NA,VCE5,Anax junius,29.6365,-82.2003,United States,Florida,Alachua,Windsor,"Windsor, Newnan's Lake",Vermont Center for Ecostudies,F,
490,3,adult,-73.67,NA,NA,VCE4,Anax junius,29.6365,-82.2003,United States,Florida,Alachua,Windsor,"Windsor, Newnan's Lake",Vermont Center for Ecostudies,F,
